nombre_modelo,dim_latente,arquitectura,tipo_ruido,nivel_ruido,epocas_max,learning_rate,convergio,epocas_reales,mse,precision,parametros,mejora_mse,mejora_snr,efectividad
tp3_eliminador_BalancedAE_lat2_gaussiano_0.05_ep10000_lr0_001,2,BalancedAE,gaussiano,0.05,10000,0.001,False,527,0.15381401025037436,77.67857142857143,2905,-11419.469926797292,-11419.469926797292,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.05_ep10000_lr0_0005,2,BalancedAE,gaussiano,0.05,10000,0.0005,False,677,0.1548081416302299,76.78571428571429,2905,-12618.537843525708,-12618.537843525708,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.05_ep8000_lr0_00075,2,BalancedAE,gaussiano,0.05,8000,0.00075,False,541,0.15577397659052042,78.30357142857143,2905,-12131.191389012689,-12131.191389012689,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.05_ep8000_lr0_0005,2,BalancedAE,gaussiano,0.05,8000,0.0005,False,611,0.15757596139809715,77.94642857142857,2905,-13881.170029216932,-13881.170029216932,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.05_ep10000_lr0_00075,2,BalancedAE,gaussiano,0.05,10000,0.00075,False,539,0.1595667914723776,77.85714285714286,2905,-13390.212143340825,-13390.212143340825,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.05_ep8000_lr0_001,2,BalancedAE,gaussiano,0.05,8000,0.001,False,536,0.16263473444825066,76.16071428571428,2905,-12404.26774521903,-12404.26774521903,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.1_ep8000_lr0_001,2,BalancedAE,gaussiano,0.1,8000,0.001,False,857,0.12248390196247619,82.85714285714286,2905,-2463.24211598312,-2463.24211598312,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.1_ep10000_lr0_00075,2,BalancedAE,gaussiano,0.1,10000,0.00075,False,659,0.14192931777576212,79.73214285714286,2905,-2799.345599175667,-2799.345599175667,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.1_ep10000_lr0_001,2,BalancedAE,gaussiano,0.1,10000,0.001,False,626,0.14470339641558802,78.83928571428571,2905,-2891.90420935039,-2891.90420935039,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.1_ep8000_lr0_00075,2,BalancedAE,gaussiano,0.1,8000,0.00075,False,600,0.15141614205672105,78.48214285714286,2905,-2585.335665769926,-2585.335665769926,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.1_ep8000_lr0_0005,2,BalancedAE,gaussiano,0.1,8000,0.0005,False,684,0.15683393298317866,77.14285714285715,2905,-2880.516835877014,-2880.516835877014,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.1_ep10000_lr0_0005,2,BalancedAE,gaussiano,0.1,10000,0.0005,False,611,0.16648671627172,75.26785714285714,2905,-3362.0604769348283,-3362.0604769348283,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.15_ep10000_lr0_00075,2,BalancedAE,gaussiano,0.15,10000,0.00075,False,697,0.1413793848967785,79.91071428571429,2905,-1094.8498108189199,-1094.8498108189199,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.15_ep8000_lr0_0005,2,BalancedAE,gaussiano,0.15,8000,0.0005,False,792,0.1422405601070271,79.46428571428571,2905,-1152.057824305086,-1152.057824305086,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.15_ep8000_lr0_00075,2,BalancedAE,gaussiano,0.15,8000,0.00075,False,647,0.14716462856374296,78.83928571428571,2905,-1213.729673954533,-1213.729673954533,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.15_ep10000_lr0_0005,2,BalancedAE,gaussiano,0.15,10000,0.0005,False,658,0.14973607094357427,79.82142857142858,2905,-1362.6261137398878,-1362.6261137398878,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.15_ep10000_lr0_001,2,BalancedAE,gaussiano,0.15,10000,0.001,False,568,0.15733259523000045,77.41071428571429,2905,-1562.839778110323,-1562.839778110323,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.15_ep8000_lr0_001,2,BalancedAE,gaussiano,0.15,8000,0.001,False,544,0.1594811071475001,75.98214285714285,2905,-1275.507102444612,-1275.507102444612,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.2_ep8000_lr0_001,2,BalancedAE,gaussiano,0.2,8000,0.001,False,668,0.13048681665534767,81.60714285714286,2905,-559.6337881429747,-559.6337881429747,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.2_ep8000_lr0_0005,2,BalancedAE,gaussiano,0.2,8000,0.0005,False,806,0.14362026953481508,79.73214285714286,2905,-610.0003614378604,-610.0003614378604,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.2_ep10000_lr0_00075,2,BalancedAE,gaussiano,0.2,10000,0.00075,False,687,0.1449745179405789,78.83928571428571,2905,-648.122016305788,-648.122016305788,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.2_ep10000_lr0_0005,2,BalancedAE,gaussiano,0.2,10000,0.0005,False,1112,0.14651043076397127,79.01785714285714,2905,-578.0201946036245,-578.0201946036245,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.2_ep8000_lr0_00075,2,BalancedAE,gaussiano,0.2,8000,0.00075,False,642,0.15014708277549654,77.85714285714286,2905,-666.693031976585,-666.693031976585,False
tp3_eliminador_BalancedAE_lat2_gaussiano_0.2_ep10000_lr0_001,2,BalancedAE,gaussiano,0.2,10000,0.001,False,549,0.15797773808180768,77.05357142857143,2905,-724.2645324723561,-724.2645324723561,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.05_ep8000_lr0_0005,2,WideTanhAE,gaussiano,0.05,8000,0.0005,False,1224,0.1279928221963905,82.41071428571428,3277,-10589.673176247896,-10589.673176247896,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.05_ep8000_lr0_001,2,WideTanhAE,gaussiano,0.05,8000,0.001,False,681,0.13028961447727883,81.16071428571429,3277,-10530.373928987947,-10530.373928987947,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.05_ep8000_lr0_00075,2,WideTanhAE,gaussiano,0.05,8000,0.00075,False,689,0.1330440202885536,81.07142857142857,3277,-10271.687848088226,-10271.687848088226,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.05_ep10000_lr0_0005,2,WideTanhAE,gaussiano,0.05,10000,0.0005,False,786,0.13639679519338518,81.16071428571429,3277,-10152.625362321116,-10152.625362321116,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.05_ep10000_lr0_001,2,WideTanhAE,gaussiano,0.05,10000,0.001,False,586,0.14746405600795082,80.08928571428572,3277,-13123.941229495433,-13123.941229495433,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.05_ep10000_lr0_00075,2,WideTanhAE,gaussiano,0.05,10000,0.00075,False,565,0.1530348849040283,78.03571428571429,3277,-12464.44748900905,-12464.44748900905,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.1_ep8000_lr0_0005,2,WideTanhAE,gaussiano,0.1,8000,0.0005,False,1004,0.1259360957440605,82.14285714285714,3277,-2466.701404187624,-2466.701404187624,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.1_ep10000_lr0_001,2,WideTanhAE,gaussiano,0.1,10000,0.001,False,539,0.15117491874816075,77.85714285714286,3277,-3287.6690174837477,-3287.6690174837477,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.1_ep10000_lr0_0005,2,WideTanhAE,gaussiano,0.1,10000,0.0005,False,642,0.15453657905231216,78.39285714285714,3277,-3261.612930335584,-3261.612930335584,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.1_ep8000_lr0_001,2,WideTanhAE,gaussiano,0.1,8000,0.001,False,542,0.16297996978181054,75.80357142857143,3277,-3405.5315948581197,-3405.5315948581197,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.1_ep10000_lr0_00075,2,WideTanhAE,gaussiano,0.1,10000,0.00075,False,522,0.16985800023742711,74.91071428571429,3277,-3531.3520295194403,-3531.3520295194403,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.1_ep8000_lr0_00075,2,WideTanhAE,gaussiano,0.1,8000,0.00075,False,525,0.1779383537590509,73.03571428571428,3277,-3689.1510784181564,-3689.1510784181564,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.15_ep8000_lr0_001,2,WideTanhAE,gaussiano,0.15,8000,0.001,False,628,0.14091549762604752,79.55357142857142,3277,-1154.3916187181808,-1154.3916187181808,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.15_ep8000_lr0_00075,2,WideTanhAE,gaussiano,0.15,8000,0.00075,False,655,0.14345024483872792,79.73214285714286,3277,-1166.5356744102944,-1166.5356744102944,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.15_ep10000_lr0_001,2,WideTanhAE,gaussiano,0.15,10000,0.001,False,544,0.14480361670500042,80.26785714285715,3277,-1137.2991638228382,-1137.2991638228382,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.15_ep10000_lr0_00075,2,WideTanhAE,gaussiano,0.15,10000,0.00075,False,648,0.1455445121080775,79.73214285714286,3277,-1219.7936575031447,-1219.7936575031447,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.15_ep10000_lr0_0005,2,WideTanhAE,gaussiano,0.15,10000,0.0005,False,753,0.1496113641281448,78.48214285714286,3277,-1179.6510953994962,-1179.6510953994962,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.15_ep8000_lr0_0005,2,WideTanhAE,gaussiano,0.15,8000,0.0005,False,584,0.1599429733700381,77.76785714285714,3277,-1376.9807880248766,-1376.9807880248766,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.2_ep8000_lr0_001,2,WideTanhAE,gaussiano,0.2,8000,0.001,False,585,0.14390795397793782,80.35714285714286,3277,-676.807116202222,-676.807116202222,False
tp3_eliminador_WideTanhAE_lat2_gaussiano_0.2_ep8000_lr0_00075,2,WideTanhAE,gaussiano,0.2,8000,0.00075,False,652,0.14854800871229246,78.125,3277,-618.1277611388407,-618.1277611388407,False
tp3_eliminador_BalancedAE_lat5_gaussiano_0.05_ep8000_lr0_001,5,BalancedAE,gaussiano,0.05,8000,0.001,False,735,0.10442661264042,86.16071428571429,2956,-8442.973881272654,-8442.973881272654,False
tp3_eliminador_BalancedAE_lat5_gaussiano_0.05_ep8000_lr0_00075,5,BalancedAE,gaussiano,0.05,8000,0.00075,False,620,0.12713643160785987,83.125,2956,-10872.907757352768,-10872.907757352768,False
tp3_eliminador_BalancedAE_lat5_gaussiano_0.05_ep10000_lr0_00075,5,BalancedAE,gaussiano,0.05,10000,0.00075,False,648,0.12846358777169006,82.14285714285714,2956,-10839.317325892496,-10839.317325892496,False
tp3_eliminador_BalancedAE_lat5_gaussiano_0.05_ep10000_lr0_001,5,BalancedAE,gaussiano,0.05,10000,0.001,False,541,0.14628587401761298,80.17857142857143,2956,-12377.429058818825,-12377.429058818825,False
tp3_eliminador_BalancedAE_lat5_gaussiano_0.1_ep10000_lr0_001,5,BalancedAE,gaussiano,0.1,10000,0.001,False,616,0.11314498412923336,85.53571428571428,2956,-2373.9286657418324,-2373.9286657418324,False
tp3_eliminador_BalancedAE_lat5_gaussiano_0.1_ep8000_lr0_00075,5,BalancedAE,gaussiano,0.1,8000,0.00075,False,694,0.11800884484546596,83.92857142857143,2956,-2121.700699807651,-2121.700699807651,False
tp3_eliminador_BalancedAE_lat5_gaussiano_0.1_ep10000_lr0_0005,5,BalancedAE,gaussiano,0.1,10000,0.0005,False,716,0.12764081250656284,81.69642857142857,2956,-2335.9637226096256,-2335.9637226096256,False
tp3_eliminador_BalancedAE_lat5_gaussiano_0.1_ep8000_lr0_001,5,BalancedAE,gaussiano,0.1,8000,0.001,False,568,0.13657189878545997,81.51785714285714,2956,-2575.5753135965087,-2575.5753135965087,False
tp3_eliminador_BalancedAE_lat5_gaussiano_0.15_ep8000_lr0_0005,5,BalancedAE,gaussiano,0.15,8000,0.0005,False,773,0.1224534157400689,83.75,2956,-902.093376824488,-902.093376824488,False
tp3_eliminador_BalancedAE_lat5_gaussiano_0.15_ep8000_lr0_001,5,BalancedAE,gaussiano,0.15,8000,0.001,False,612,0.12400755301820864,83.83928571428572,2956,-1128.0631572897544,-1128.0631572897544,False
